Driver,Team,Q1,Q2,Q3,QualiTime,AirTemp,TrackTemp,Humidity,Rainfall,FP1_Time,FP2_Time,FP3_Time,Year,Circuit
ALO,Alpine,83.846,83.46,,83.46,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.625,84.225,85.094,2021,Abu Dhabi Grand Prix
BOT,Mercedes,83.117,83.246,83.036,83.036,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.205,84.083,84.025,2021,Abu Dhabi Grand Prix
GAS,AlphaTauri,83.489,84.043,,83.489,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.822,84.94,84.251,2021,Abu Dhabi Grand Prix
GIO,Alfa Romeo Racing,84.118,84.251,,84.118,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.409,85.108,85.048,2021,Abu Dhabi Grand Prix
HAM,Mercedes,82.845,83.145,82.48,82.48,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.042,83.691,83.274,2021,Abu Dhabi Grand Prix
LAT,Williams,84.338,,,84.338,25.12962962962963,29.17283950617284,57.358024691358025,0.0,87.487,85.687,85.322,2021,Abu Dhabi Grand Prix
LEC,Ferrari,83.467,83.202,83.122,83.122,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.846,84.557,84.758,2021,Abu Dhabi Grand Prix
MAZ,Haas F1 Team,85.685,,,85.685,25.12962962962963,29.17283950617284,57.358024691358025,0.0,88.305,86.336,86.332,2021,Abu Dhabi Grand Prix
MSC,Haas F1 Team,84.906,,,84.906,25.12962962962963,29.17283950617284,57.358024691358025,0.0,87.698,85.784,85.34,2021,Abu Dhabi Grand Prix
NOR,McLaren,83.553,83.256,82.931,82.931,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.123,85.072,84.106,2021,Abu Dhabi Grand Prix
OCO,Alpine,83.764,83.42,83.389,83.389,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.025,84.034,84.834,2021,Abu Dhabi Grand Prix
PER,Red Bull Racing,83.35,83.135,82.947,82.947,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.363,84.4,84.047,2021,Abu Dhabi Grand Prix
RAI,Alfa Romeo Racing,84.779,,,84.779,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.189,85.44,85.037,2021,Abu Dhabi Grand Prix
RIC,McLaren,83.829,83.448,83.409,83.409,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.676,84.812,84.733,2021,Abu Dhabi Grand Prix
RUS,Williams,84.423,,,84.423,25.12962962962963,29.17283950617284,57.358024691358025,0.0,,85.549,85.22,2021,Abu Dhabi Grand Prix
SAI,Ferrari,83.624,83.174,82.992,82.992,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.886,84.844,84.595,2021,Abu Dhabi Grand Prix
STR,Aston Martin,84.061,84.066,,84.061,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.608,85.385,85.362,2021,Abu Dhabi Grand Prix
TSU,AlphaTauri,83.428,83.404,83.22,83.22,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.169,89.641,85.06,2021,Abu Dhabi Grand Prix
VER,Red Bull Racing,83.322,82.8,82.109,82.109,25.12962962962963,29.17283950617284,57.358024691358025,0.0,85.009,84.332,83.488,2021,Abu Dhabi Grand Prix
VET,Aston Martin,84.225,84.305,,84.225,25.12962962962963,29.17283950617284,57.358024691358025,0.0,86.007,85.195,85.115,2021,Abu Dhabi Grand Prix
ALO,Alpine,64.472,64.856,,64.472,25.618181818181817,51.72077922077922,27.205194805194807,0.0,,65.393,65.434,2021,Austrian Grand Prix
BOT,Mercedes,64.563,64.376,64.049,64.049,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.445,64.712,65.129,2021,Austrian Grand Prix
GAS,AlphaTauri,64.841,64.412,64.107,64.107,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.726,65.379,65.28,2021,Austrian Grand Prix
GIO,Alfa Romeo Racing,64.782,65.083,,64.782,25.618181818181817,51.72077922077922,27.205194805194807,0.0,,65.511,65.345,2021,Austrian Grand Prix
HAM,Mercedes,64.506,64.258,64.014,64.014,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.709,64.523,64.994,2021,Austrian Grand Prix
LAT,Williams,65.195,,,65.195,25.618181818181817,51.72077922077922,27.205194805194807,0.0,66.978,66.014,66.105,2021,Austrian Grand Prix
LEC,Ferrari,64.906,64.6,,64.6,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.409,65.708,65.484,2021,Austrian Grand Prix
MAZ,Haas F1 Team,65.951,,,65.951,25.618181818181817,51.72077922077922,27.205194805194807,0.0,67.284,66.173,66.289,2021,Austrian Grand Prix
MSC,Haas F1 Team,65.427,,,65.427,25.618181818181817,51.72077922077922,27.205194805194807,0.0,66.583,65.636,66.078,2021,Austrian Grand Prix
NOR,McLaren,64.345,64.415,63.768,63.768,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.88,65.466,65.7,2021,Austrian Grand Prix
OCO,Alpine,65.051,,,65.051,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.98,65.527,65.674,2021,Austrian Grand Prix
PER,Red Bull Racing,64.833,64.483,63.99,63.99,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.726,65.516,65.396,2021,Austrian Grand Prix
RAI,Alfa Romeo Racing,65.009,,,65.009,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.586,65.405,65.747,2021,Austrian Grand Prix
RIC,McLaren,64.977,64.719,,64.719,25.618181818181817,51.72077922077922,27.205194805194807,0.0,66.181,65.698,65.725,2021,Austrian Grand Prix
RUS,Williams,64.907,64.553,64.591,64.553,25.618181818181817,51.72077922077922,27.205194805194807,0.0,,65.819,65.694,2021,Austrian Grand Prix
SAI,Ferrari,64.596,64.559,,64.559,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.431,65.62,65.347,2021,Austrian Grand Prix
STR,Aston Martin,64.927,64.547,64.618,64.547,25.618181818181817,51.72077922077922,27.205194805194807,0.0,66.203,65.139,65.546,2021,Austrian Grand Prix
TSU,AlphaTauri,64.967,64.518,64.273,64.273,25.618181818181817,51.72077922077922,27.205194805194807,0.0,65.474,65.356,65.561,2021,Austrian Grand Prix
