Year,Circuit,DriverNumber,Driver,DriverId,Team,Position,Q1,Q2,Q3,Status
2021,Bahrain Grand Prix,33,VER,max_verstappen,Red Bull Racing,1.0,90.499,90.318,88.997,
2021,Bahrain Grand Prix,44,HAM,hamilton,Mercedes,2.0,90.617,90.085,89.385,
2021,Bahrain Grand Prix,77,BOT,bottas,Mercedes,3.0,91.2,90.186,89.586,
2021,Bahrain Grand Prix,16,LEC,leclerc,Ferrari,4.0,90.691,90.01,89.678,
2021,Bahrain Grand Prix,10,GAS,gasly,AlphaTauri,5.0,90.848,90.513,89.809,
2021,Bahrain Grand Prix,3,RIC,ricciardo,McLaren,6.0,90.795,90.222,89.927,
2021,Bahrain Grand Prix,4,NOR,norris,McLaren,7.0,90.902,90.099,89.974,
2021,Bahrain Grand Prix,55,SAI,sainz,Ferrari,8.0,91.653,90.009,90.215,
2021,Bahrain Grand Prix,14,ALO,alonso,Alpine,9.0,90.863,90.595,90.249,
2021,Bahrain Grand Prix,18,STR,stroll,Aston Martin,10.0,91.261,90.624,90.601,
2021,Bahrain Grand Prix,11,PER,perez,Red Bull Racing,11.0,91.165,90.659,,
2021,Bahrain Grand Prix,99,GIO,giovinazzi,Alfa Romeo Racing,12.0,90.998,90.708,,
2021,Bahrain Grand Prix,22,TSU,tsunoda,AlphaTauri,13.0,90.607,91.203,,
2021,Bahrain Grand Prix,7,RAI,raikkonen,Alfa Romeo Racing,14.0,91.547,91.238,,
2021,Bahrain Grand Prix,63,RUS,russell,Williams,15.0,91.316,93.43,,
2021,Bahrain Grand Prix,31,OCO,ocon,Alpine,16.0,91.724,,,
2021,Bahrain Grand Prix,6,LAT,latifi,Williams,17.0,91.936,,,
2021,Bahrain Grand Prix,5,VET,vettel,Aston Martin,18.0,92.056,,,
2021,Bahrain Grand Prix,47,MSC,mick_schumacher,Haas F1 Team,19.0,92.449,,,
2021,Bahrain Grand Prix,9,MAZ,mazepin,Haas F1 Team,20.0,93.273,,,
2021,Emilia Romagna Grand Prix,44,HAM,hamilton,Mercedes,1.0,74.823,74.817,74.411,
2021,Emilia Romagna Grand Prix,11,PER,perez,Red Bull Racing,2.0,75.395,74.716,74.446,
2021,Emilia Romagna Grand Prix,33,VER,max_verstappen,Red Bull Racing,3.0,75.109,74.884,74.498,
2021,Emilia Romagna Grand Prix,16,LEC,leclerc,Ferrari,4.0,75.413,74.808,74.74,
2021,Emilia Romagna Grand Prix,10,GAS,gasly,AlphaTauri,5.0,75.548,74.927,74.79,
2021,Emilia Romagna Grand Prix,3,RIC,ricciardo,McLaren,6.0,75.669,75.033,74.826,
2021,Emilia Romagna Grand Prix,4,NOR,norris,McLaren,7.0,75.009,74.718,74.875,
2021,Emilia Romagna Grand Prix,77,BOT,bottas,Mercedes,8.0,74.672,74.905,74.898,
2021,Emilia Romagna Grand Prix,31,OCO,ocon,Alpine,9.0,75.385,75.117,75.21,
2021,Emilia Romagna Grand Prix,18,STR,stroll,Aston Martin,10.0,75.522,75.138,,
2021,Emilia Romagna Grand Prix,55,SAI,sainz,Ferrari,11.0,75.406,75.199,,
2021,Emilia Romagna Grand Prix,63,RUS,russell,Williams,12.0,75.826,75.261,,
2021,Emilia Romagna Grand Prix,5,VET,vettel,Aston Martin,13.0,75.459,75.394,,
2021,Emilia Romagna Grand Prix,6,LAT,latifi,Williams,14.0,75.653,75.593,,
2021,Emilia Romagna Grand Prix,14,ALO,alonso,Alpine,15.0,75.832,75.593,,
2021,Emilia Romagna Grand Prix,7,RAI,raikkonen,Alfa Romeo Racing,16.0,75.974,,,
2021,Emilia Romagna Grand Prix,99,GIO,giovinazzi,Alfa Romeo Racing,17.0,76.122,,,
2021,Emilia Romagna Grand Prix,47,MSC,mick_schumacher,Haas F1 Team,18.0,76.279,,,
2021,Emilia Romagna Grand Prix,9,MAZ,mazepin,Haas F1 Team,19.0,76.797,,,
2021,Emilia Romagna Grand Prix,22,TSU,tsunoda,AlphaTauri,20.0,,,,
2021,Portuguese Grand Prix,77,BOT,bottas,Mercedes,1.0,78.722,78.458,78.348,
2021,Portuguese Grand Prix,44,HAM,hamilton,Mercedes,2.0,78.857,77.968,78.355,
2021,Portuguese Grand Prix,33,VER,max_verstappen,Red Bull Racing,3.0,79.485,78.65,78.746,
2021,Portuguese Grand Prix,11,PER,perez,Red Bull Racing,4.0,79.337,78.845,78.89,
2021,Portuguese Grand Prix,55,SAI,sainz,Ferrari,5.0,79.309,78.813,79.039,
2021,Portuguese Grand Prix,31,OCO,ocon,Alpine,6.0,79.092,78.586,79.042,
2021,Portuguese Grand Prix,4,NOR,norris,McLaren,7.0,78.794,78.481,79.116,
2021,Portuguese Grand Prix,16,LEC,leclerc,Ferrari,8.0,79.373,78.769,79.306,
