event_id,year,round,name,circuit_id,circuit,country,location,format
2021-01,2021,1,Bahrain Grand Prix,63,Sakhir,Bahrain,Sakhir,conventional
2021-02,2021,2,Emilia Romagna Grand Prix,6,Imola,Italy,Imola,conventional
2021-03,2021,3,Portuguese Grand Prix,147,Algarve International Circuit,Portugal,Portimão,conventional
2021-04,2021,4,Spanish Grand Prix,15,Catalunya,Spain,Barcelona,conventional
2021-05,2021,5,Monaco Grand Prix,22,Monte Carlo,Monaco,Monte Carlo,conventional
2021-06,2021,6,Azerbaijan Grand Prix,144,Baku,Azerbaijan,Baku,conventional
2021-07,2021,7,French Grand Prix,28,Paul Ricard,France,Le Castellet,conventional
2021-08,2021,8,Styrian Grand Prix,19,Spielberg,Austria,Spielberg,conventional
2021-09,2021,9,Austrian Grand Prix,19,Spielberg,Austria,Spielberg,conventional
2021-10,2021,10,British Grand Prix,2,Silverstone,Great Britain,Silverstone,sprint
2021-11,2021,11,Hungarian Grand Prix,4,Hungaroring,Hungary,Budapest,conventional
2021-12,2021,12,Belgian Grand Prix,7,Spa-Francorchamps,Belgium,Spa-Francorchamps,conventional
2021-13,2021,13,Dutch Grand Prix,55,Zandvoort,Netherlands,Zandvoort,conventional
2021-14,2021,14,Italian Grand Prix,39,Monza,Italy,Monza,sprint
2021-15,2021,15,Russian Grand Prix,79,Sochi,Russia,Sochi,conventional
2021-16,2021,16,Turkish Grand Prix,59,Istanbul,Turkey,Istanbul,conventional
2021-17,2021,17,United States Grand Prix,9,Austin,United States,Austin,conventional
2021-18,2021,18,Mexico City Grand Prix,65,Mexico City,Mexico,Mexico City,conventional
2021-19,2021,19,São Paulo Grand Prix,14,Interlagos,Brazil,São Paulo,sprint
2021-20,2021,20,Qatar Grand Prix,150,Losail,Qatar,Lusail,conventional
2021-21,2021,21,Saudi Arabian Grand Prix,149,Jeddah,Saudi Arabia,Jeddah,conventional
2021-22,2021,22,Abu Dhabi Grand Prix,70,Yas Marina Circuit,Abu Dhabi,Yas Island,conventional
2022-01,2022,1,Bahrain Grand Prix,63,Sakhir,Bahrain,Sakhir,conventional
2022-02,2022,2,Saudi Arabian Grand Prix,149,Jeddah,Saudi Arabia,Jeddah,conventional
2022-03,2022,3,Australian Grand Prix,10,Melbourne,Australia,Melbourne,conventional
2022-04,2022,4,Emilia Romagna Grand Prix,6,Imola,Italy,Imola,sprint
2022-05,2022,5,Miami Grand Prix,151,Miami,United States,Miami,conventional
2022-06,2022,6,Spanish Grand Prix,15,Catalunya,Spain,Barcelona,conventional
2022-07,2022,7,Monaco Grand Prix,22,Monte Carlo,Monaco,Monaco,conventional
2022-08,2022,8,Azerbaijan Grand Prix,144,Baku,Azerbaijan,Baku,conventional
2022-09,2022,9,Canadian Grand Prix,23,Montreal,Canada,Montréal,conventional
2022-10,2022,10,British Grand Prix,2,Silverstone,Great Britain,Silverstone,conventional
2022-11,2022,11,Austrian Grand Prix,19,Spielberg,Austria,Spielberg,sprint
2022-12,2022,12,French Grand Prix,28,Paul Ricard,France,Le Castellet,conventional
2022-13,2022,13,Hungarian Grand Prix,4,Hungaroring,Hungary,Budapest,conventional
2022-14,2022,14,Belgian Grand Prix,7,Spa-Francorchamps,Belgium,Spa-Francorchamps,conventional
