event_id,session,start_utc,end_utc,timing_source,source_path
2021-01,FP1,2021-03-26T11:30:00+00:00,2021-03-26T12:30:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-26_Practice_1/
2021-01,FP2,2021-03-26T15:00:00+00:00,2021-03-26T16:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-26_Practice_2/
2021-01,FP3,2021-03-27T12:00:00+00:00,2021-03-27T13:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-27_Practice_3/
2021-01,Q,2021-03-27T15:00:00+00:00,2021-03-27T16:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-03-28_Bahrain_Grand_Prix/2021-03-27_Qualifying/
2021-02,FP1,2021-04-16T09:00:00+00:00,2021-04-16T10:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-04-18_Emilia_Romagna_Grand_Prix/2021-04-16_Practice_1/
2021-02,FP2,2021-04-16T12:30:00+00:00,2021-04-16T13:30:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-04-18_Emilia_Romagna_Grand_Prix/2021-04-16_Practice_2/
2021-02,FP3,2021-04-17T09:00:00+00:00,2021-04-17T10:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-04-18_Emilia_Romagna_Grand_Prix/2021-04-17_Practice_3/
2021-02,Q,2021-04-17T12:00:00+00:00,2021-04-17T13:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-04-18_Emilia_Romagna_Grand_Prix/2021-04-17_Qualifying/
2021-03,FP1,2021-04-30T10:30:00+00:00,2021-04-30T11:30:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-02_Portuguese_Grand_Prix/2021-04-30_Practice_1/
2021-03,FP2,2021-04-30T14:00:00+00:00,2021-04-30T15:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-02_Portuguese_Grand_Prix/2021-04-30_Practice_2/
2021-03,FP3,2021-05-01T11:00:00+00:00,2021-05-01T12:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-02_Portuguese_Grand_Prix/2021-05-01_Practice_3/
2021-03,Q,2021-05-01T14:00:00+00:00,2021-05-01T15:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-02_Portuguese_Grand_Prix/2021-05-01_Qualifying/
2021-04,FP1,2021-05-07T09:30:00+00:00,2021-05-07T10:30:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-09_Spanish_Grand_Prix/2021-05-07_Practice_1/
2021-04,FP2,2021-05-07T13:00:00+00:00,2021-05-07T14:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-09_Spanish_Grand_Prix/2021-05-07_Practice_2/
2021-04,FP3,2021-05-08T10:00:00+00:00,2021-05-08T11:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-09_Spanish_Grand_Prix/2021-05-08_Practice_3/
2021-04,Q,2021-05-08T13:00:00+00:00,2021-05-08T14:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-09_Spanish_Grand_Prix/2021-05-08_Qualifying/
2021-05,FP1,2021-05-20T09:30:00+00:00,2021-05-20T10:30:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-23_Monaco_Grand_Prix/2021-05-20_Practice_1/
2021-05,FP2,2021-05-20T13:00:00+00:00,2021-05-20T14:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-23_Monaco_Grand_Prix/2021-05-20_Practice_2/
2021-05,FP3,2021-05-22T10:00:00+00:00,2021-05-22T11:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-23_Monaco_Grand_Prix/2021-05-22_Practice_3/
2021-05,Q,2021-05-22T13:00:00+00:00,2021-05-22T14:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-05-23_Monaco_Grand_Prix/2021-05-22_Qualifying/
2021-06,FP1,2021-06-04T08:30:00+00:00,2021-06-04T09:30:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-06-06_Azerbaijan_Grand_Prix/2021-06-04_Practice_1/
2021-06,FP2,2021-06-04T12:00:00+00:00,2021-06-04T13:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-06-06_Azerbaijan_Grand_Prix/2021-06-04_Practice_2/
2021-06,FP3,2021-06-05T09:00:00+00:00,2021-06-05T10:00:00+00:00,FastF1 SessionInfo StartDate/EndDate,/static/2021/2021-06-06_Azerbaijan_Grand_Prix/2021-06-05_Practice_3/
