Driver,Team,Q1,Q2,Q3,QualiTime,AirTemp,TrackTemp,Humidity,Rainfall,FP1_Time,FP2_Time,FP3_Time,Year,Circuit
VER,Red Bull Racing,90.499,90.318,88.997,88.997,29.060256410256418,33.843589743589746,46.5448717948718,0.0,91.394,90.847,90.577,2021,Bahrain Grand Prix
HAM,Mercedes,90.617,90.085,89.385,89.385,29.060256410256418,33.843589743589746,46.5448717948718,0.0,91.921,91.082,91.316,2021,Bahrain Grand Prix
BOT,Mercedes,91.2,90.186,89.586,89.586,29.060256410256418,33.843589743589746,46.5448717948718,0.0,91.692,91.218,91.855,2021,Bahrain Grand Prix
LEC,Ferrari,90.691,90.01,89.678,89.678,29.060256410256418,33.843589743589746,46.5448717948718,0.0,91.993,91.612,92.482,2021,Bahrain Grand Prix
GAS,AlphaTauri,90.848,90.513,89.809,89.809,29.060256410256418,33.843589743589746,46.5448717948718,0.0,92.195,91.483,91.583,2021,Bahrain Grand Prix
RIC,McLaren,90.795,90.222,89.927,89.927,29.060256410256418,33.843589743589746,46.5448717948718,0.0,92.434,91.23,92.477,2021,Bahrain Grand Prix
NOR,McLaren,90.902,90.099,89.974,89.974,29.060256410256418,33.843589743589746,46.5448717948718,0.0,91.897,90.942,92.86,2021,Bahrain Grand Prix
SAI,Ferrari,91.653,90.009,90.215,90.009,29.060256410256418,33.843589743589746,46.5448717948718,0.0,92.366,91.127,92.108,2021,Bahrain Grand Prix
ALO,Alpine,90.863,90.595,90.249,90.249,29.060256410256418,33.843589743589746,46.5448717948718,0.0,93.872,91.77,92.82,2021,Bahrain Grand Prix
STR,Aston Martin,91.261,90.624,90.601,90.601,29.060256410256418,33.843589743589746,46.5448717948718,0.0,93.233,91.393,92.431,2021,Bahrain Grand Prix
PER,Red Bull Racing,91.165,90.659,,90.659,29.060256410256418,33.843589743589746,46.5448717948718,0.0,92.071,91.503,91.908,2021,Bahrain Grand Prix
GIO,Alfa Romeo Racing,90.998,90.708,,90.708,29.060256410256418,33.843589743589746,46.5448717948718,0.0,92.786,91.74,92.5,2021,Bahrain Grand Prix
TSU,AlphaTauri,90.607,91.203,,90.607,29.060256410256418,33.843589743589746,46.5448717948718,0.0,93.329,91.294,92.677,2021,Bahrain Grand Prix
RAI,Alfa Romeo Racing,91.547,91.238,,91.238,29.060256410256418,33.843589743589746,46.5448717948718,0.0,93.134,91.862,92.224,2021,Bahrain Grand Prix
RUS,Williams,91.316,93.43,,91.316,29.060256410256418,33.843589743589746,46.5448717948718,0.0,94.127,92.331,93.323,2021,Bahrain Grand Prix
OCO,Alpine,91.724,,,91.724,29.060256410256418,33.843589743589746,46.5448717948718,0.0,93.528,91.601,92.423,2021,Bahrain Grand Prix
LAT,Williams,91.936,,,91.936,29.060256410256418,33.843589743589746,46.5448717948718,0.0,94.34,93.4,93.959,2021,Bahrain Grand Prix
VET,Aston Martin,92.056,,,92.056,29.060256410256418,33.843589743589746,46.5448717948718,0.0,93.157,91.769,92.755,2021,Bahrain Grand Prix
MSC,Haas F1 Team,92.449,,,92.449,29.060256410256418,33.843589743589746,46.5448717948718,0.0,94.501,93.297,93.422,2021,Bahrain Grand Prix
MAZ,Haas F1 Team,93.273,,,93.273,29.060256410256418,33.843589743589746,46.5448717948718,0.0,94.975,93.449,93.622,2021,Bahrain Grand Prix
HAM,Mercedes,74.823,74.817,74.411,74.411,13.685227272727273,26.889772727272728,41.976136363636364,0.0,76.605,75.561,75.515,2021,Emilia Romagna Grand Prix
PER,Red Bull Racing,75.395,74.716,74.446,74.446,13.685227272727273,26.889772727272728,41.976136363636364,0.0,78.228,76.411,75.551,2021,Emilia Romagna Grand Prix
VER,Red Bull Racing,75.109,74.884,74.498,74.498,13.685227272727273,26.889772727272728,41.976136363636364,0.0,76.622,76.999,74.958,2021,Emilia Romagna Grand Prix
LEC,Ferrari,75.413,74.808,74.74,74.74,13.685227272727273,26.889772727272728,41.976136363636364,0.0,76.796,75.367,75.738,2021,Emilia Romagna Grand Prix
GAS,AlphaTauri,75.548,74.927,74.79,74.79,13.685227272727273,26.889772727272728,41.976136363636364,0.0,76.888,75.629,75.89,2021,Emilia Romagna Grand Prix
RIC,McLaren,75.669,75.033,74.826,74.826,13.685227272727273,26.889772727272728,41.976136363636364,0.0,77.769,76.782,76.253,2021,Emilia Romagna Grand Prix
NOR,McLaren,75.009,74.718,74.875,74.718,13.685227272727273,26.889772727272728,41.976136363636364,0.0,77.935,76.485,75.414,2021,Emilia Romagna Grand Prix
BOT,Mercedes,74.672,74.905,74.898,74.672,13.685227272727273,26.889772727272728,41.976136363636364,0.0,76.564,75.551,75.908,2021,Emilia Romagna Grand Prix
OCO,Alpine,75.385,75.117,75.21,75.117,13.685227272727273,26.889772727272728,41.976136363636364,0.0,78.36,76.817,76.228,2021,Emilia Romagna Grand Prix
STR,Aston Martin,75.522,75.138,,75.138,13.685227272727273,26.889772727272728,41.976136363636364,0.0,77.489,76.737,76.245,2021,Emilia Romagna Grand Prix
SAI,Ferrari,75.406,75.199,,75.199,13.685227272727273,26.889772727272728,41.976136363636364,0.0,76.888,75.834,75.908,2021,Emilia Romagna Grand Prix
RUS,Williams,75.826,75.261,,75.261,13.685227272727273,26.889772727272728,41.976136363636364,0.0,77.866,77.179,76.427,2021,Emilia Romagna Grand Prix
